,crawled_at,address,estado,city,area,rooms,bathrooms,garage,condo,price_rent
2,2022-06-23 21:10:00,"Rua Maria Vasconcelos de Andrade, 1720 - Aruana, Aracaju - SE",SE,aracaju,80.0,3.0,2.0,1.0,400.0,750.0
3,2022-06-23 21:10:00,"Luzia, Aracaju - SE",SE,aracaju,67.0,2.0,1.0,1.0,395.0,1250.0
4,2022-06-23 21:10:00,"Avenida São João Batista, 638 - Ponto Novo, Aracaju - SE",SE,aracaju,70.0,3.0,1.0,1.0,380.0,1200.0
5,2022-06-23 21:10:00,"Rua Matilde Silva Lima, 421 - Luzia, Aracaju - SE",SE,aracaju,65.0,3.0,1.0,1.0,375.0,800.0
6,2022-06-23 21:10:00,"Luzia, Aracaju - SE",SE,aracaju,59.0,3.0,1.0,1.0,370.0,850.0
7,2022-06-23 21:10:00,"Inácio Barbosa, Aracaju - SE",SE,aracaju,48.0,2.0,1.0,1.0,260.0,700.0
8,2022-06-23 21:10:00,"Aruana, Aracaju - SE",SE,aracaju,65.0,3.0,1.0,1.0,285.0,1000.0
9,2022-06-23 21:10:00,"Aeroporto, Aracaju - SE",SE,aracaju,75.0,3.0,2.0,1.0,400.0,2200.0
11,2022-06-23 21:10:00,"Lamarão, Aracaju - SE",SE,aracaju,51.0,2.0,1.0,1.0,209.0,600.0
12,2022-06-23 21:10:00,"Avenida Deputado Pedro Valadares, 940 - Jardins, Aracaju - SE",SE,aracaju,151.0,4.0,1.0,2.0,1430.0,2500.0
14,2022-06-23 21:10:00,"Aeroporto, Aracaju - SE",SE,aracaju,64.0,3.0,2.0,1.0,80.0,600.0
16,2022-06-23 21:10:00,"Farolândia, Aracaju - SE",SE,aracaju,70.0,3.0,1.0,1.0,390.0,1200.0
20,2022-06-23 21:10:00,"Avenida São João Batista, 1505 - Ponto Novo, Aracaju - SE",SE,aracaju,60.0,3.0,1.0,1.0,160.0,650.0
21,2022-06-23 21:10:00,"Avenida Adélia Franco, 3580 - Inácio Barbosa, Aracaju - SE",SE,aracaju,68.0,3.0,1.0,1.0,375.0,1400.0
23,2022-06-23 21:10:00,"Rua Antônio Barbosa de Araújo, 133 - Farolândia, Aracaju - SE",SE,aracaju,75.0,3.0,1.0,1.0,370.0,800.0
24,2022-06-23 21:10:00,"Avenida Maria Pastora, 260 - Farolândia, Aracaju - SE",SE,aracaju,65.0,3.0,1.0,1.0,215.0,800.0
26,2022-06-23 21:10:00,"Farolândia, Aracaju - SE",SE,aracaju,80.0,3.0,3.0,1.0,355.0,1500.0
27,2022-06-23 21:10:00,"Rua B1, 150 - São Conrado, Aracaju - SE",SE,aracaju,52.0,3.0,1.0,1.0,250.0,600.0
29,2022-06-23 21:10:00,"Rua A, 150 - Farolândia, Aracaju - SE",SE,aracaju,70.0,3.0,2.0,1.0,350.0,2000.0
30,2022-06-23 21:10:00,"Centro, Aracaju - SE",SE,aracaju,59.0,2.0,1.0,1.0,85.0,1000.0
31,2022-06-23 21:10:00,"Avenida Murilo Dantas, 1349 - Farolândia, Aracaju - SE",SE,aracaju,70.0,3.0,2.0,1.0,314.0,1200.0
32,2022-06-23 21:10:00,"Rua Heráclito Muniz Barreto, 55 - Luzia, Aracaju - SE",SE,aracaju,110.0,2.0,3.0,1.0,650.0,900.0
33,2022-06-23 21:10:00,"Avenida Presidente Tancredo Neves, 190 - Inácio Barbosa, Aracaju - SE",SE,aracaju,110.0,2.0,4.0,2.0,620.0,2900.0
34,2022-06-23 21:10:00,"Rua João Santana, 215 - Grageru, Aracaju - SE",SE,aracaju,110.0,3.0,3.0,1.0,300.0,1000.0
35,2022-06-23 21:10:00,"Grageru, Aracaju - SE",SE,aracaju,85.0,3.0,1.0,1.0,18.0,850.0
81,2022-06-23 21:10:00,"Avenida Franklin de Campos Sobral, 28 - Grageru, Aracaju - SE",SE,aracaju,64.0,2.0,1.0,1.0,150.0,800.0
85,2022-06-23 21:10:00,"Treze de Julho, Aracaju - SE",SE,aracaju,156.0,3.0,3.0,1.0,500.0,1100.0
87,2022-06-23 21:10:00,"Rua Homero de Oliveira, 397 - Treze de Julho, Aracaju - SE",SE,aracaju,95.0,3.0,3.0,1.0,780.0,1200.0
88,2022-06-23 21:10:00,"Avenida Deputado Sílvio Teixeira, 0 - Jardins, Aracaju - SE",SE,aracaju,124.0,3.0,2.0,1.0,790.0,1200.0
91,2022-06-23 21:10:00,"Centro, Aracaju - SE",SE,aracaju,122.0,3.0,3.0,0.0,900.0,800.0
92,2022-06-23 21:10:00,"Jabotiana, Aracaju - SE",SE,aracaju,72.0,3.0,2.0,1.0,320.0,1800.0
93,2022-06-23 21:10:00,"Rua São Cristóvão, 212 - Centro, Aracaju - SE",SE,aracaju,49.0,1.0,1.0,0.0,188.0,500.0
94,2022-06-23 21:10:00,"Avenida Franklin de Campos Sobral, 0 - Grageru, Aracaju - SE",SE,aracaju,60.0,2.0,2.0,1.0,460.0,1200.0
