,address,city,area,rooms,bathrooms,garage,amenites,price_rent,condo,crawled_at
0,"Rua Professor José Freitas de Andrade, 428 - Coroa do Meio, Aracaju - SE",aracaju,99,4 Quartos,2 Banheiros,1 Vaga,Mobiliado Condomínio_fechado Aceita_animais Ar-condicionado Jardim ...,R$ 1.500 /mês,,2022-06-23 21:10
1,"Rua Napoleão Dórea, 723 - Atalaia, Aracaju - SE",aracaju,70,3 Quartos,2 Banheiros,1 Vaga,Piscina Mobiliado Elevador Aceita_animais Ar-condicionado ...,R$ 220.000 /mês,R$ 450,2022-06-23 21:10
2,"Rua Maria Vasconcelos de Andrade, 1720 - Aruana, Aracaju - SE",aracaju,80,3 Quartos,2 Banheiros,1 Vaga,Piscina Churrasqueira Elevador Condomínio_fechado Academia ...,R$ 750 /mês,R$ 400,2022-06-23 21:10
3,"Luzia, Aracaju - SE",aracaju,67,2 Quartos,1 Banheiro,1 Vaga,Piscina Churrasqueira Playground Salão_de_festas Quadra_poliesportiva ...,R$ 1.250 /mês,R$ 395,2022-06-23 21:10
4,"Avenida São João Batista, 638 - Ponto Novo, Aracaju - SE",aracaju,70,3 Quartos,1 Banheiro,1 Vaga,Piscina Mobiliado Churrasqueira Condomínio_fechado Área_de_serviço ...,R$ 1.200 /mês,R$ 380,2022-06-23 21:10
5,"Rua Matilde Silva Lima, 421 - Luzia, Aracaju - SE",aracaju,65,3 Quartos,1 Banheiro,1 Vaga,Piscina Churrasqueira Elevador Condomínio_fechado Playground ...,R$ 800 /mês,R$ 375,2022-06-23 21:10
6,"Luzia, Aracaju - SE",aracaju,59,3 Quartos,1 Banheiro,1 Vaga,Área_de_serviço,R$ 850 /mês,R$ 370,2022-06-23 21:10
7,"Inácio Barbosa, Aracaju - SE",aracaju,48,2 Quartos,1 Banheiro,1 Vaga,Piscina Churrasqueira Academia Espaço_gourmet Garagem ...,R$ 700 /mês,R$ 260,2022-06-23 21:10
8,"Aruana, Aracaju - SE",aracaju,65,3 Quartos,1 Banheiro,1 Vaga,None,R$ 1.000 /mês,R$ 285,2022-06-23 21:10
9,"Aeroporto, Aracaju - SE",aracaju,75,3 Quartos,2 Banheiros,1 Vaga,Piscina Mobiliado Churrasqueira Varanda Academia ...,R$ 2.200 /mês,R$ 400,2022-06-23 21:10
10,"Rua Quirino, 1145 - Inácio Barbosa, Aracaju - SE",aracaju,59,2 Quartos,1 Banheiro,1 Vaga,Piscina Churrasqueira Elevador Condomínio_fechado Aceita_animais ...,R$ 1.200 /mês,,2022-06-23 21:10
11,"Lamarão, Aracaju - SE",aracaju,51,2 Quartos,1 Banheiro,1 Vaga,None,R$ 600 /mês,R$ 209,2022-06-23 21:10
12,"Avenida Deputado Pedro Valadares, 940 - Jardins, Aracaju - SE",aracaju,151,4 Quartos,1 Banheiro,2 Vagas,Piscina Churrasqueira Elevador Condomínio_fechado Aceita_animais ...,R$ 2.500 /mês,R$ 1.430,2022-06-23 21:10
13,"Rua Jasiel de Brito Côrtes, 715 - Jabotiana, Aracaju - SE",aracaju,68,3 Quartos,2 Banheiros,1 Vaga,Piscina Churrasqueira Elevador Condomínio_fechado Academia ...,R$ 1.300 /mês,,2022-06-23 21:10
14,"Aeroporto, Aracaju - SE",aracaju,64,3 Quartos,2 Banheiros,1 Vaga,Cozinha TV_a_cabo Área_de_serviço,R$ 600 /mês,R$ 80,2022-06-23 21:10
15,"Rua Jordão de Oliveira, 1155 - Atalaia, Aracaju - SE",aracaju,88,2 Quartos,1 Banheiro,1 Vaga,Ar-condicionado Interfone Mobiliado,R$ 1.500 /mês,,2022-06-23 21:10
16,"Farolândia, Aracaju - SE",aracaju,70,3 Quartos,1 Banheiro,1 Vaga,Churrasqueira Piscina Playground Salão_de_jogos Salão_de_festas,R$ 1.200 /mês,R$ 390,2022-06-23 21:10
17,"Avenida Deputado Sílvio Teixeira, 1105 - Jardins, Aracaju - SE",aracaju,113,3 Quartos,3 Banheiros,2 Vagas,Piscina Churrasqueira Elevador Condomínio_fechado Academia ...,R$ 3.500 /mês,,2022-06-23 21:10
18,"Jabotiana, Aracaju - SE",aracaju,51,2 Quartos,1 Banheiro,1 Vaga,Piscina Churrasqueira Varanda Academia Espaço_gourmet ...,R$ 800 /mês,R$ 246,2022-06-23 21:10
19,"Avenida Adelbrando Franco Menezes, 0481675 - Inácio Barbosa, Aracaju - SE",aracaju,55,2 Quartos,1 Banheiro,1 Vaga,None,R$ 720 /mês,,2022-06-23 21:10
20,"Avenida São João Batista, 1505 - Ponto Novo, Aracaju - SE",aracaju,60,3 Quartos,1 Banheiro,1 Vaga,Condomínio_fechado Aceita_animais Quadra_poliesportiva Bicicletário Portaria_24h ...,R$ 650 /mês,R$ 160,2022-06-23 21:10
21,"Avenida Adélia Franco, 3580 - Inácio Barbosa, Aracaju - SE",aracaju,68,3 Quartos,1 Banheiro,1 Vaga,Piscina Elevador Garagem Área_de_serviço Quadra_poliesportiva ...,R$ 1.400 /mês,R$ 375,2022-06-23 21:10
22,"Rua Jorge Mangueira Lobão, 179 - Aruana, Aracaju - SE",aracaju,66,3 Quartos,1 Banheiro,1 Vaga,Piscina Churrasqueira Condomínio_fechado Playground Quadra_poliesportiva ...,R$ 1.200 /mês,,2022-06-23 21:10
23,"Rua Antônio Barbosa de Araújo, 133 - Farolândia, Aracaju - SE",aracaju,75,3 Quartos,1 Banheiro,1 Vaga,Condomínio_fechado Portão_eletrônico Área_de_serviço,R$ 800 /mês,R$ 370,2022-06-23 21:10
24,"Avenida Maria Pastora, 260 - Farolândia, Aracaju - SE",aracaju,65,3 Quartos,1 Banheiro,1 Vaga,Churrasqueira Condomínio_fechado Academia Playground Salão_de_festas ...,R$ 800 /mês,R$ 215,2022-06-23 21:10
25,"Rua Tenente Waldir dos Santos, 0 - Farolândia, Aracaju - SE",aracaju,40,2 Quartos,1 Banheiro,1 Vaga,None,R$ 1.000 /mês,,2022-06-23 21:10
26,"Farolândia, Aracaju - SE",aracaju,80,3 Quartos,3 Banheiros,1 Vaga,Piscina Churrasqueira Elevador Varanda Academia ...,R$ 1.500 /mês,R$ 355,2022-06-23 21:10
27,"Rua B1, 150 - São Conrado, Aracaju - SE",aracaju,52,3 Quartos,1 Banheiro,1 Vaga,Piscina Condomínio_fechado Playground Salão_de_festas Quadra_poliesportiva ...,R$ 600 /mês,R$ 250,2022-06-23 21:10
28,"Avenida Adélia Franco - Luzia, Aracaju - SE",aracaju,80,3 Quartos,2 Banheiros,1 Vaga,Elevador Condomínio_fechado Varanda Aceita_animais Área_de_serviço ...,R$ 1.300 /mês,,2022-06-23 21:10
29,"Rua A, 150 - Farolândia, Aracaju - SE",aracaju,70,3 Quartos,2 Banheiros,1 Vaga,Piscina Mobiliado Churrasqueira Elevador Condomínio_fechado ...,R$ 2.000 /mês,R$ 350,2022-06-23 21:10
