,address,city,area,rooms,bathrooms,garage,amenites,price_sale,price_rent,condo,crawled_at
0,"Rua Napoleão Dórea, 723 - Atalaia, Aracaju - SE",aracaju,70,3 Quartos,2 Banheiros,1 Vaga,Piscina Mobiliado Elevador Aceita animais Ar-condicionado ...,R$ 220.000 /mês,R$ 220.000 /mês,R$ 450,2022-06-23 16:15
1,"Rua Professor José Freitas de Andrade, 428 - Coroa do Meio, Aracaju - SE",aracaju,99,4 Quartos,2 Banheiros,1 Vaga,Mobiliado Condomínio fechado Aceita animais Ar-condicionado Jardim ...,R$ 1.500 /mês,R$ 1.500 /mês,,2022-06-23 16:15
2,"Rua Matilde Silva Lima, 421 - Luzia, Aracaju - SE",aracaju,65,3 Quartos,1 Banheiro,1 Vaga,Piscina Churrasqueira Elevador Condomínio fechado Playground ...,R$ 800 /mês,R$ 800 /mês,R$ 375,2022-06-23 16:15
3,"Rua Jasiel de Brito Côrtes, 715 - Jabotiana, Aracaju - SE",aracaju,68,3 Quartos,2 Banheiros,1 Vaga,Piscina Churrasqueira Elevador Condomínio fechado Academia ...,R$ 1.300 /mês,R$ 1.300 /mês,,2022-06-23 16:15
4,"Rua Engenheiro Antônio Gonçalves Soares, 852 - Luzia, Aracaju - SE",aracaju,90,3 Quartos,2 Banheiros,1 Vaga,Jardim Condomínio fechado Portaria 24h Aceita animais,R$ 599 /mês,R$ 599 /mês,R$ 270,2022-06-23 16:15
5,"Avenida Deputado Sílvio Teixeira, 1105 - Jardins, Aracaju - SE",aracaju,113,3 Quartos,3 Banheiros,2 Vagas,Piscina Churrasqueira Elevador Condomínio fechado Academia ...,R$ 3.500 /mês,R$ 3.500 /mês,,2022-06-23 16:15
6,"Aeroporto, Aracaju - SE",aracaju,75,3 Quartos,2 Banheiros,1 Vaga,Piscina Mobiliado Churrasqueira Varanda Academia ...,R$ 2.200 /mês,R$ 2.200 /mês,R$ 400,2022-06-23 16:15
7,"Rua Quirino, 1145 - Inácio Barbosa, Aracaju - SE",aracaju,59,2 Quartos,1 Banheiro,1 Vaga,Piscina Churrasqueira Elevador Condomínio fechado Aceita animais ...,R$ 1.200 /mês,R$ 1.200 /mês,,2022-06-23 16:15
8,"Rua A, 150 - Farolândia, Aracaju - SE",aracaju,70,3 Quartos,2 Banheiros,1 Vaga,Piscina Mobiliado Churrasqueira Elevador Condomínio fechado ...,R$ 2.000 /mês,R$ 2.000 /mês,R$ 350,2022-06-23 16:15
9,"Centro, Aracaju - SE",aracaju,122,3 Quartos,3 Banheiros,-- Vaga,Área de serviço,R$ 800 /mês,R$ 800 /mês,R$ 900,2022-06-23 16:15
10,"Avenida São João Batista, 1505 - Ponto Novo, Aracaju - SE",aracaju,60,3 Quartos,1 Banheiro,1 Vaga,Condomínio fechado Aceita animais Quadra poliesportiva Bicicletário Portaria 24h ...,R$ 650 /mês,R$ 650 /mês,R$ 160,2022-06-23 16:15
11,"Jardins, Aracaju - SE",aracaju,104,3 Quartos,1 Banheiro,1 Vaga,Piscina Churrasqueira Elevador Varanda Academia ...,R$ 1.800 /mês,R$ 1.800 /mês,R$ 710,2022-06-23 16:15
